IDX,X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
2547,37.6275500,55.7615100,1,60,0,0
2548,37.6287500,55.7631100,5,60,1,24
2552,37.3776700,55.9314200,5,60,1,322
2565,37.6261100,55.7734700,5,60,1,98
2578,37.4220000,55.6295500,5,60,0,0
2616,37.5287400,55.6007500,5,60,1,201
2620,37.4725400,55.6294700,1,60,0,0
2622,37.5947800,55.6447300,5,60,1,7
2623,37.4864700,55.6666800,5,60,1,51
2628,37.3582400,55.9450700,5,60,1,142
2630,37.2104300,56.0133200,5,90,1,306
2632,37.1562100,56.0470000,5,60,2,341
2664,37.5845400,55.7923500,5,60,0,0
2666,37.6384600,55.7644200,5,60,1,131
2718,37.3461500,55.6151700,5,40,1,321
2721,37.3414800,55.6337500,5,60,1,86
2723,37.3379600,55.6578200,5,60,1,114
2725,37.4401300,55.6646700,1,40,2,34
2727,37.4863200,55.6668000,5,60,1,232
2729,37.4262000,55.6868000,5,60,1,58
2730,37.4276700,55.6872600,5,60,1,255
2731,37.5461800,55.7012900,5,60,1,218
2734,37.1605700,55.7056700,1,60,0,0
2736,37.8272300,55.7208600,1,60,1,122
2742,37.3683300,55.7648400,5,60,2,68
2743,37.3624400,55.7732000,5,60,2,310
2745,37.8310900,55.7742100,1,60,1,69
2746,37.8947300,55.7900200,1,60,0,0
2748,37.1298300,55.8110300,5,60,0,0
2749,37.3572700,55.8173700,1,60,0,0
2752,37.4673600,55.8747600,5,60,0,0
2753,37.6734100,55.8936800,1,60,2,353
2758,37.3300400,55.6309300,5,60,1,255
2759,37.3369400,55.6279700,5,60,1,350
2760,37.3020200,55.6025300,1,60,0,0
2790,37.3339600,55.9617200,5,60,1,321
2823,37.5616500,55.8564700,5,60,0,0
2824,37.1678800,55.7232600,1,60,0,0
2825,37.9674800,55.7250800,1,60,2,80
2826,37.9542200,55.7512100,1,60,1,99
2827,37.9643700,55.7502700,1,60,1,275
2828,38.0083400,55.7475000,1,60,0,0
2829,37.7742900,55.5488900,1,60,0,0
2833,38.0623900,55.5559600,1,90,2,140
2914,37.9941700,55.6283100,5,60,0,0
2916,38.0609700,55.6137100,5,60,0,0
2921,37.4831800,55.8113200,5,80,2,110
2939,37.5883300,55.6727800,5,60,2,212
2964,37.6149700,55.4784000,5,110,1,172
2965,37.6191400,55.4642000,5,110,1,352
2985,37.8625500,55.9796700,5,50,2,48
2995,37.6981500,55.8083200,5,40,1,314
3015,37.8776800,56.0042700,5,60,1,179
3025,37.4994300,55.8904000,1,40,2,311
3028,37.6183700,55.7297700,5,60,1,270
3053,37.3943800,55.9230600,5,70,1,203
3054,37.3944200,55.9229400,5,60,1,23
3058,37.6236800,55.7495900,5,50,1,84
3064,37.7651600,55.8056300,5,60,1,65
